states,year,girls ,gender
Andaman & Nicobar Islands,2013,93.44,girl 
Andaman & Nicobar Islands,2013,94.52,boy
Andaman & Nicobar Islands,2014,100,girl 
Andaman & Nicobar Islands,2014,100,boy
Andaman & Nicobar Islands,2015,100,girl 
Andaman & Nicobar Islands,2015,100,boy
Andhra Pradesh,2013,81.31,girl 
Andhra Pradesh,2013,56.88,boy
Andhra Pradesh,2014,98.07,girl 
Andhra Pradesh,2014,65.34,boy
Andhra Pradesh,2015,99.72,girl 
Andhra Pradesh,2015,99.69,boy
Arunachal Pradesh,2013,76.9,girl 
Arunachal Pradesh,2013,48.73,boy
Arunachal Pradesh,2014,96.89,girl 
Arunachal Pradesh,2014,95.97,boy
Arunachal Pradesh,2015,96.56,girl 
Arunachal Pradesh,2015,95.65,boy
Assam,2013,75.28,girl 
Assam,2013,60.17,boy
Assam,2014,74.86,girl 
Assam,2014,54.8,boy
Assam,2015,83.94,girl 
Assam,2015,82.8,boy
Bihar,2013,75.41,girl 
Bihar,2013,73.42,boy
Bihar,2014,76.3,girl 
Bihar,2014,73.92,boy
Bihar,2015,90.05,girl 
Bihar,2015,89.16,boy
Chandigarh,2013,100,girl 
Chandigarh,2013,100,boy
Chandigarh,2014,100,girl 
Chandigarh,2014,100,boy
Chandigarh,2015,100,girl 
Chandigarh,2015,100,boy
Chhattisgarh,2013,94.1,girl 
Chhattisgarh,2013,82.85,boy
Chhattisgarh,2014,92,girl 
Chhattisgarh,2014,76.06,boy
Chhattisgarh,2015,99.16,girl 
Chhattisgarh,2015,98.5,boy
Delhi,2013,100,girl 
Delhi,2013,100,boy
Delhi,2014,100,girl 
Delhi,2014,100,boy
Delhi,2015,100,girl 
Delhi,2015,100,boy
Goa,2013,98.31,girl 
Goa,2013,87.07,boy
Goa,2014,99.42,girl 
Goa,2014,90.85,boy
Goa,2015,100,girl 
Goa,2015,100,boy
All India,2013,91.23,girl 
All India,2013,86.56,boy
All India,2014,93.08,girl 
All India,2014,88.62,boy
All India,2015,97.52,girl 
All India,2015,97.02,boy
